player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Adam Walton,3,1,2,0.313953488372093,0.3244444444444444,0.09689922480620156,0.031007751937984496,0.28742514970059885,0.3626373626373627,0.1,6.45,2.025,89.0,338.0
Adolfo Daniel Vallejo,2,0,2,0.37155963302752293,0.37823834196891193,0.0779816513761468,0.03669724770642202,0.28873239436619713,0.5263157894736843,0.2647058823529412,6.411764705882353,2.3823529411764706,110.0,110.0
Adrian Mannarino,9,5,4,0.35857142857142854,0.3824503311258278,0.10857142857142857,0.02857142857142857,0.2703862660944206,0.5341880341880342,0.20535714285714285,6.25,2.2410714285714284,53.0,69.88888888888889
Aleksandar Kovacevic,4,0,4,0.26912181303116145,0.3003663003663004,0.18980169971671387,0.036827195467422094,0.16901408450704225,0.4214285714285714,0.03508771929824561,6.192982456140351,1.6666666666666667,56.5,49.75
Aleksandar Vukic,2,0,2,0.22834645669291342,0.23931623931623935,0.07086614173228346,0.007874015748031496,0.21590909090909094,0.2564102564102564,0.08695652173913043,5.521739130434782,1.2608695652173914,74.0,74.0
Alex Molcan,3,1,2,0.3674033149171271,0.3972602739726028,0.1464088397790055,0.04696132596685083,0.24444444444444446,0.5693430656934306,0.18,7.24,2.66,61.0,45.666666666666664
Alexander Shevchenko,1,0,1,0.24285714285714288,0.2962962962962963,0.21428571428571427,0.014285714285714285,0.18181818181818177,0.4666666666666667,0.0,5.384615384615385,1.3076923076923077,4.0,4.0
Botic Van De Zandschulp,5,2,3,0.3634615384615385,0.36501079913606915,0.07115384615384615,0.038461538461538464,0.2948328267477204,0.481675392670157,0.2077922077922078,6.753246753246753,2.4545454545454546,70.0,99.0
Camilo Ugo Carabelli,1,0,1,0.4044943820224719,0.43661971830985913,0.14606741573033707,0.056179775280898875,0.3538461538461538,0.5416666666666667,0.3333333333333333,5.933333333333334,2.4,84.0,84.0
Corentin Moutet,5,1,4,0.3228915662650602,0.3263157894736842,0.060240963855421686,0.024096385542168676,0.25,0.48091603053435117,0.11764705882352941,6.102941176470588,1.9705882352941178,89.5,125.0
Daniel Altmaier,8,4,4,0.3207547169811321,0.3218181818181818,0.09276729559748427,0.04245283018867924,0.2524271844660194,0.4464285714285714,0.1262135922330097,6.174757281553398,1.9805825242718447,59.0,62.375
Ethan Quinn,9,6,3,0.3539703903095559,0.363914373088685,0.08613728129205922,0.033647375504710635,0.2629213483146068,0.4899328859060402,0.21008403361344538,6.243697478991597,2.2100840336134455,53.0,78.0
Fabian Marozsan,9,5,4,0.316400580551524,0.3278418451400329,0.09143686502177069,0.027576197387518143,0.2522123893805309,0.43881856540084385,0.14545454545454545,6.263636363636364,1.981818181818182,50.0,59.333333333333336
Hamad Medjedovic,3,1,2,0.30793650793650795,0.3553719008264463,0.19682539682539682,0.03492063492063492,0.18333333333333335,0.4740740740740741,0.12,6.3,1.94,33.0,55.666666666666664
Hugo Gaston,1,0,1,0.21212121212121215,0.22807017543859653,0.12121212121212122,0.015151515151515152,0.11904761904761907,0.375,0.0,5.076923076923077,1.0769230769230769,87.0,87.0
Jacob Fearnley,2,1,1,0.37154150197628455,0.38604651162790693,0.1067193675889328,0.043478260869565216,0.25465838509316774,0.5760869565217391,0.21052631578947367,6.657894736842105,2.473684210526316,45.0,45.0
Jaime Faria,2,1,1,0.33587786259541985,0.35159817351598177,0.12213740458015267,0.04198473282442748,0.2152777777777778,0.48305084745762716,0.175,6.55,2.2,63.5,63.5
James Duckworth,4,2,2,0.29156626506024097,0.31355932203389836,0.12289156626506025,0.024096385542168676,0.2234848484848485,0.4105960264900662,0.11764705882352941,6.102941176470588,1.7794117647058822,35.0,85.5
Jan Choinski,5,3,2,0.3595505617977528,0.3813333333333333,0.11910112359550562,0.038202247191011236,0.24904214559386972,0.5163043478260869,0.18840579710144928,6.449275362318841,2.318840579710145,64.0,90.2
Jaume Munar,5,2,3,0.3667425968109339,0.3710526315789474,0.0888382687927107,0.04555808656036447,0.28378378378378377,0.5384615384615384,0.16176470588235295,6.455882352941177,2.3676470588235294,48.0,71.2
Jenson Brooksby,8,4,4,0.38,0.396584440227704,0.09,0.03166666666666667,0.3007915567282322,0.5158371040723981,0.2708333333333333,6.25,2.375,68.5,77.625
Jesper De Jong,2,1,1,0.3382899628252788,0.3458333333333333,0.07806691449814127,0.02973977695167286,0.272189349112426,0.44999999999999996,0.12195121951219512,6.560975609756097,2.2195121951219514,54.5,54.5
Juan Manuel Cerundolo,4,2,2,0.3395061728395061,0.3355704697986577,0.04938271604938271,0.030864197530864196,0.2325581395348837,0.5504587155963303,0.1346153846153846,6.230769230769231,2.1153846153846154,80.5,81.5
