player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alejandro Davidovich Fokina,52,32,20,0.3613265579031827,0.37935323383084574,0.1048408665418561,0.0350361059106713,0.27723195215719776,0.502145922746781,0.2,6.33728813559322,2.2898305084745765,53.0,56.28846153846154
Alejandro Tabilo,55,30,25,0.34177552652625964,0.36488597313339577,0.1162356704878699,0.03039189549453479,0.2638712409995765,0.4741007194244604,0.17166666666666666,6.251666666666667,2.1366666666666667,54.0,81.45614035087719
Alex De Minaur,72,47,25,0.3982986767485822,0.4070256625999159,0.06880907372400756,0.03251417769376182,0.3124618204031765,0.5376984126984127,0.2620253164556962,6.69620253164557,2.6670886075949367,41.0,56.42465753424658
Alex Michelsen,48,26,22,0.36594738397871707,0.37644656228727025,0.0925214306828259,0.03901862252438664,0.26676314520019295,0.5229007633587786,0.18846153846153846,6.505769230769231,2.3807692307692307,45.5,60.270833333333336
Alexander Blockx,33,21,12,0.3500597371565114,0.3443822643133878,0.04340900039824771,0.0314615690959777,0.28616953473550033,0.4564755838641189,0.17543859649122806,6.293233082706767,2.2030075187969924,44.0,86.0
Alexander Bublik,59,36,23,0.3331781140861467,0.3517862012544314,0.11338766006984866,0.03282887077997672,0.2524235645041014,0.46745195288282704,0.15226939970717424,6.288433382137628,2.095168374816984,66.5,88.91379310344827
Alexander Zverev,79,58,21,0.35635167878158536,0.36584890965732086,0.07995846313603323,0.03115264797507788,0.2758342303552207,0.501454898157129,0.19599109131403117,6.434298440979956,2.2928730512249444,35.0,39.9625
Andrey Rublev,50,29,21,0.3666016169500975,0.37307329348851836,0.07778087538332869,0.0359632004460552,0.3025394045534151,0.4788948580199539,0.2250453720508167,6.509981851179673,2.386569872958258,47.5,64.86
Arthur Fery,23,15,8,0.3747454175152749,0.3698788228505482,0.06924643584521385,0.04837067209775967,0.2984336356141797,0.4980026631158455,0.22666666666666666,6.546666666666667,2.453333333333333,62.0,108.17391304347827
Arthur Fils,42,32,10,0.3662991040661613,0.37592520451889366,0.08166781529979325,0.033769813921433495,0.2838137472283814,0.5018214936247722,0.23162583518930957,6.463251670378619,2.3674832962138086,31.0,47.166666666666664
Arthur Rinderknech,49,25,24,0.3275013668671405,0.3301684532924962,0.07463094587206123,0.03280481137233461,0.25520833333333337,0.4505169867060561,0.1426086956521739,6.361739130434783,2.083478260869565,47.5,72.18
Ben Shelton,55,36,19,0.3187277580071174,0.3250564334085779,0.08274021352313167,0.03047153024911032,0.24057262569832405,0.4558823529411765,0.13128491620111732,6.279329608938547,2.0013966480446927,42.0,57.89090909090909
Brandon Nakashima,61,37,24,0.34892086330935257,0.3657628920786815,0.11465827338129496,0.039568345323741004,0.25564718537110076,0.5057263411693791,0.1804949053857351,6.474526928675401,2.2590975254730714,52.0,58.22950819672131
Cameron Norrie,55,31,24,0.3634682080924856,0.3840618336886994,0.10219653179190752,0.03028901734104046,0.2771863117870722,0.4973451327433628,0.19880418535127056,6.464872944693573,2.3497757847533634,59.0,83.07272727272728
Carlos Alcaraz,38,32,6,0.41127694859038144,0.4193781634128706,0.0560530679933665,0.026533996683250415,0.3422818791946308,0.5352504638218925,0.29977628635346754,6.74496644295302,2.7740492170022373,23.0,29.358974358974358
Casper Ruud,55,35,20,0.3719615602035048,0.3851395197923426,0.09242509892594686,0.03646127755794234,0.2787569573283859,0.5173661360347322,0.22638146167557932,6.306595365418895,2.3458110516934045,50.0,53.14545454545455
Daniel Merida Aguilar,27,18,9,0.4118241536129358,0.4054794520547945,0.03991915108640728,0.037897928246589184,0.3374083129584352,0.5332446808510638,0.3173076923076923,6.342948717948718,2.6121794871794872,60.0,100.74074074074075
Daniil Medvedev,66,46,20,0.4083237437667817,0.4126333059885152,0.042385884158036055,0.02243958573072497,0.34029850746268653,0.5305793991416309,0.2835249042145594,6.659003831417625,2.719029374201788,49.0,72.23188405797102
Denis Shapovalov,41,19,22,0.37869233322270157,0.36693979337370863,0.031530036508463324,0.036840358446730836,0.30219206680584554,0.512306289881495,0.2291220556745182,6.451820128479658,2.443254817987152,69.0,91.82926829268293
Felix Auger Aliassime,68,48,20,0.35029878425716054,0.3552571688666363,0.06593859468370081,0.028642077065732536,0.2910003135779241,0.4639423076923077,0.17890520694259013,6.479305740987984,2.2696929238985315,49.5,60.19117647058823
Flavio Cobolli,63,38,25,0.3528265107212476,0.3597940937415335,0.07139376218323587,0.029239766081871343,0.2761075949367089,0.4758883248730964,0.18662519440124417,6.38258164852255,2.2519440124416796,54.5,66.296875
Frances Tiafoe,57,37,20,0.35631331850753645,0.3887900355871886,0.1344205584383494,0.03236965653570546,0.2612116443745083,0.5169435215946844,0.21705426356589147,6.274418604651163,2.235658914728682,53.0,61.280701754385966
Francisco Cerundolo,56,34,22,0.4013736263736264,0.4013768332834481,0.049175824175824175,0.03296703296703297,0.3193462897526502,0.5363372093023255,0.29285714285714287,6.5,2.6089285714285713,52.5,64.76785714285714
Hubert Hurkacz,32,16,16,0.33604135893648446,0.3428927680798005,0.08013293943870015,0.03138847858197932,0.2655401327700664,0.4471931493815414,0.13493975903614458,6.525301204819277,2.1927710843373496,42.0,52.125
Ignacio Buse,40,24,16,0.378191856452726,0.3768768768768769,0.04899930986887509,0.031746031746031744,0.30540242557883135,0.5,0.2553648068669528,6.218884120171674,2.351931330472103,66.5,74.225
Jakub Mensik,54,35,19,0.35767392458842273,0.3618266978922716,0.06346255974508763,0.02947424322889007,0.28817946505608283,0.46892265193370164,0.1896551724137931,6.493103448275862,2.3224137931034483,48.5,73.51785714285714
Jan Lennard Struff,36,16,20,0.3352080989876266,0.35231316725978645,0.11886014248218972,0.03824521934758155,0.23543260741612715,0.5103305785123967,0.15274463007159905,6.365155131264917,2.1336515513126493,55.0,73.88888888888889
Jannik Sinner,69,65,4,0.4117171717171717,0.4199280251911831,0.06727272727272728,0.034545454545454546,0.33375674817402345,0.5480288728484175,0.2994652406417112,6.617647058823529,2.7245989304812834,27.0,41.15942028985507
Jiri Lehecka,54,33,21,0.34252692408720775,0.35041716328963046,0.08484370895718414,0.03362227475702653,0.27453365774533656,0.4675615212527964,0.16552901023890784,6.496587030716723,2.2252559726962455,43.5,71.70370370370371
Joao Fonseca,42,27,15,0.36111111111111116,0.36851136851136856,0.08633633633633633,0.03866366366366367,0.26694411414982167,0.5224032586558045,0.20327102803738317,6.224299065420561,2.2476635514018692,42.0,59.62222222222222
Juan Manuel Cerundolo,37,18,19,0.35264773599386035,0.3474178403755869,0.060629316960859554,0.04029163468917882,0.2658994548758328,0.5026178010471204,0.18292682926829268,6.35609756097561,2.2414634146341466,57.0,74.60526315789474
